"순서","시군구코드","교량일련번호","교량명_한글","교량명_영문","위도","경도"
"469","11710","24","청룡다리"," ","37.5231271","127.1274611"
"470","11710","26","성동교"," ","37.5239141","127.1166328"
"471","11710","28"," "," ","37.5239204","127.1072379"
"472","11710","39","삼성교"," ","37.5103512","127.0690453"
"474","11710","46","대금교"," ","37.468763","127.1224015"
"475","11710","2","장지교"," ","37.4762464","127.1270725"
"476","11710","3"," "," ","37.4779399","127.1179781"
"478","11560","29"," "," ","37.4874652","126.8977485"
"479","11560","30","신도림교"," ","37.5071826","126.8933524"
"480","11560","34"," "," ","37.5304284","126.8898744"
"481","11560","1"," "," ","37.5157197","126.9283123"
"445","11545","6","하안대교"," ","37.4655857","126.8853929"
"448","11590","15","교량"," ","37.5040393","126.9792934"
"451","11680","39","청담2교"," ","37.5189978","127.0672357"
"455","11350","23","월릉교"," ","37.6162022","127.0712659"
"459","11320","17"," "," ","37.6781714","127.0365871"
